"key","severity","rule","type","message","file","line","author","creationDate"
"AZrlEKy27WEa3SFvNIvO","BLOCKER","java:S2699","CODE_SMELL","Add at least one assertion to this test case.","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/test/java/problem/definition/ProblemEvaluateWithMethodTest.java","15","HectorLMF-tj3gc@github","2025-12-03T16:33:44+0000"
"AZrk1VAuILjDKgc-2e4U","BLOCKER","java:S2699","CODE_SMELL","Add at least one assertion to this test case.","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/test/java/factory_method/FactoryReplaceExtraTest.java","23","HectorLMF-tj3gc@github","2025-12-03T15:29:09+0000"
"AZrkouv8WIuLA5E5I6sU","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/DistributionEstimationAlgorithm.java","48","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouv8WIuLA5E5I6sV","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/DistributionEstimationAlgorithm.java","49","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouv8WIuLA5E5I6sW","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/DistributionEstimationAlgorithm.java","50","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouwfWIuLA5E5I6tL","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/EvolutionStrategies.java","44","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouwfWIuLA5E5I6tM","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/EvolutionStrategies.java","45","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouwfWIuLA5E5I6tN","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/EvolutionStrategies.java","46","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouvnWIuLA5E5I6rb","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/GeneticAlgorithm.java","55","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouvnWIuLA5E5I6rc","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/GeneticAlgorithm.java","56","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouvnWIuLA5E5I6rd","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/GeneticAlgorithm.java","57","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouvxWIuLA5E5I6r3","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/HillClimbing.java","37","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouvxWIuLA5E5I6r4","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/HillClimbing.java","38","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouvxWIuLA5E5I6r5","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/HillClimbing.java","39","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouukWIuLA5E5I6ob","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/HillClimbingRestart.java","36","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouukWIuLA5E5I6oc","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/HillClimbingRestart.java","37","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouukWIuLA5E5I6od","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/HillClimbingRestart.java","38","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouw8WIuLA5E5I6t8","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/LimitThreshold.java","37","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouw8WIuLA5E5I6t9","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/LimitThreshold.java","38","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouw8WIuLA5E5I6t-","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/LimitThreshold.java","39","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouu6WIuLA5E5I6px","BLOCKER","java:S2975","CODE_SMELL","Remove this ""clone"" implementation; use a copy constructor or copy factory instead.","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/MultiGenerator.java","364","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouxHWIuLA5E5I6uo","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/ParticleSwarmOptimization.java","34","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouxHWIuLA5E5I6up","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/ParticleSwarmOptimization.java","35","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouxHWIuLA5E5I6uq","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/ParticleSwarmOptimization.java","36","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouuuWIuLA5E5I6o0","BLOCKER","java:S2387","CODE_SMELL","""countGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/RandomSearch.java","34","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouuuWIuLA5E5I6o1","BLOCKER","java:S2387","CODE_SMELL","""countBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/RandomSearch.java","35","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
"AZrkouuuWIuLA5E5I6o2","BLOCKER","java:S2387","CODE_SMELL","""listCountBetterGender"" is the name of a field in ""Generator"".","HectorLMF_LAB--P5-Gesti-n-de-Proyecto-y-Pruebas-Unitarias:src/main/java/metaheuristics/generators/RandomSearch.java","36","HectorLMF-tj3gc@github","2025-11-26T15:50:20+0000"
